STG,SCG,STR,LPR,PEG, UNS
0.68,0.19,0.19,0.48,0.1,Very_low
0.73,0.2,0.07,0.72,0.26,Low
0.55,0.1,0.34,0.3,0.1,Very_low
0.59,0.18,0.31,0.55,0.09,Very_low
0.6,0.19,0.55,0.08,0.1,Very_low
0.69,0.02,0.62,0.3,0.29,Low
0.62,0.14,0.52,0.81,0.15,Low
0.55,0.17,0.71,0.48,0.11,Very_low
0.6,0.251,0.39,0.29,0.3,Low
0.52,0.288,0.32,0.5,0.3,Low
0.58,0.295,0.62,0.28,0.3,Low
0.61,0.258,0.56,0.62,0.24,Low
0.58,0.299,0.73,0.63,0.21,Low
0.58,0.348,0.06,0.29,0.31,Low
0.61,0.33,0.36,0.28,0.28,Low
0.51,0.4,0.4,0.59,0.23,Low
0.58,0.35,0.51,0.27,0.3,Low
0.523,0.41,0.55,0.6,0.22,Low
0.5,0.4,0.73,0.62,0.2,Low
0.52,0.85,0.06,0.27,0.25,Low
0.58,0.58,0.31,0.29,0.29,Low
0.54,0.51,0.55,0.64,0.19,Low
0,0.1,0.5,0.26,0.05,Very_low
0.05,0.05,0.55,0.6,0.14,Low
0.14,0.14,0.7,0.5,0.3,Low
0.12,0.12,0.75,0.68,0.15,Low
0.16,0.25,0.01,0.1,0.07,Very_low
0.18,0.26,0.05,0.4,0.04,Very_low
0.1,0.27,0.35,0.45,0.05,Very_low
0,0.25,0.5,0.09,0.07,Very_low
0.05,0.29,0.58,0.14,0.32,Low
0.19,0.28,0.57,0.58,0.17,Low
0.11,0.26,0.56,0.68,0.27,Low
0.12,0.28,0.7,0.16,0.32,Low
0.2,0.25,0.7,0.25,0.03,Very_low
0.16,0.28,0.72,0.27,0.32,Low
0.1,0.33,0.02,0,0.25,Very_low
0.18,0.37,0.11,0.28,0.3,Low
0.13,0.4,0.17,0.25,0.38,Low
0.14,0.38,0.59,0.11,0.32,Low
0.09,0.38,0.54,0.69,0.21,Low
0.16,0.51,0.09,0.38,0.1,Very_low
0.12,0.56,0.13,0.48,0.32,Low
0.16,0.52,0.3,0.09,0.11,Very_low
0.08,0.56,0.33,0.4,0.1,Very_low
0.1,0.6,0.51,0.1,0.01,Very_low
0,0.62,0.52,0.26,0.07,Very_low
0.08,0.56,0.7,0.14,0.1,Very_low
0.08,0.58,0.71,0.27,0.09,Very_low
0.13,0.62,0.77,0.28,0.31,Low
0.25,0,0.1,0.12,0.37,Low
0.32,0.02,0.34,0.13,0.31,Low
0.26,0.09,0.33,0.28,0.32,Low
0.26,0.12,0.34,0.68,0.29,Low
0.25,0.05,0.53,0.1,0.12,Very_low
0.28,0.08,0.52,0.25,0.08,Very_low
0.28,0.06,0.7,0.27,0.32,Low
0.27,0.03,0.76,0.59,0.23,Low
0.25,0.28,0.3,0.001,0.25,Very_low
0.26,0.26,0.31,0.26,0.13,Very_low
0.27,0.29,0.34,0.28,0.32,Low
0.26,0.26,0.35,0.62,0.24,Low
0.25,0.26,0.51,0.04,0.13,Very_low
0.28,0.27,0.56,0.14,0.31,Low
0.28,0.29,0.57,0.6,0.27,Low
0.25,0.28,0.77,0.11,0.31,Low
0.25,0.54,0.31,0.25,0.08,Very_low
0.29,0.66,0.35,0.28,0.31,Low
0.28,0.55,0.38,0.9,0.22,Low
0.33,0.04,0.02,0.12,0.11,Very_low
0.37,0.09,0.1,0.13,0.32,Low
0.37,0.07,0.1,0.41,0.3,Low
0.41,0.04,0.33,0.26,0.12,Very_low
0.38,0.09,0.37,0.28,0.32,Low
0.38,0.33,0.1,0.07,0.4,Low
0.41,0.37,0.79,0.12,0.32,Low
0.42,0.39,0.78,0.32,0.2,Low
0.36,0.52,0.07,0.1,0.15,Very_low
0.6,0.08,0.13,0.14,0.32,Low
0.65,0.09,0.16,0.49,0.31,Low
0.52,0.08,0.33,0.07,0.09,Very_low
0.62,0.12,0.36,0.36,0.32,Low
0.54,0.25,0.07,0.09,0.11,Very_low
0.56,0.27,0.11,0.59,0.22,Low
0.52,0.28,0.32,0.1,0.1,Very_low
0.56,0.35,0.1,0.62,0.23,Low
0.61,0.38,0.09,0.38,0.3,Low
0.58,0.4,0.32,0.22,0.24,Low
0.57,0.37,0.75,0.27,0.32,Low
0.62,0.56,0.11,0.24,0.22,Low
0.64,0.58,0.14,0.32,0.21,Low
0.64,0.59,0.12,0.58,0.24,Low
0.68,0.61,0.34,0.31,0.23,Low
0.56,0.6,0.77,0.13,0.32,Low
